# {"t_start": 1549290854.1318896, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,233,6744.186827
2.0,207,6753.439173
2.0,221,6763.270931
1.0,157,6770.381909
3.0,265,6782.15931
3.0,252,6793.51237
1.0,155,6800.522853
1.0,174,6808.212287
5.0,352,6824.625983
3.0,273,6836.662075
3.0,246,6847.338678
0.0,129,6852.785877
2.0,220,6862.707085
1.0,155,6869.650491
1.0,157,6876.491486
3.0,270,6888.427394
3.0,275,6901.241379
3.0,256,6912.854202
3.0,232,6923.307123
0.0,129,6929.052462
4.0,260,6940.796375
0.0,129,6946.294782
0.0,123,6951.297866
0.0,125,6956.483104
1.0,157,6963.463597
1.0,173,6971.151331
0.0,129,6976.893642
2.0,188,6985.297229
5.0,333,7000.187181
6.0,340,7015.9375
0.0,125,7021.316118
1.0,157,7028.143045
4.0,299,7041.886261
1.0,157,7048.620525
3.0,219,7058.279114
2.0,186,7066.646668
4.0,300,7080.290202
4.0,281,7093.314546
3.0,216,7103.012975
0.0,125,7108.519764
3.0,249,7120.086459
1.0,155,7126.783864
2.0,225,7137.040452
0.0,129,7142.528723
3.0,248,7153.630479
2.0,183,7161.839966
3.0,251,7172.845668
0.0,127,7178.496283
1.0,176,7186.046141
4.0,281,7198.426881
1.0,155,7205.197464
0.0,129,7210.776197
5.0,350,7226.732866
0.0,127,7232.037134
2.0,224,7242.106927
1.0,153,7249.099787
10.0,526,7273.261867
1.0,176,7281.280303
3.0,247,7292.138988
1.0,174,7299.870997
4.0,280,7312.45976
4.0,306,7326.422771
1.0,155,7333.450018
1.0,176,7341.217178
5.0,348,7357.322641
1.0,173,7365.299643
2.0,201,7374.089357
7.0,377,7391.257184
5.0,330,7406.49451
0.0,127,7411.931687
3.0,274,7423.977905
1.0,172,7431.657027
0.0,125,7436.709467
0.0,125,7442.164079
2.0,187,7450.423294
1.0,172,7458.143949
0.0,129,7463.674603
2.0,208,7473.025513
1.0,177,7480.63232
0.0,129,7486.148945
0.0,129,7491.833925
4.0,297,7505.482465
0.0,129,7510.973747
1.0,155,7517.425824
3.0,233,7527.194677
1.0,177,7535.254863
3.0,234,7545.64092
1.0,173,7553.513326
3.0,257,7565.406533
1.0,175,7573.153572
3.0,275,7585.632416
4.0,284,7598.470244
3.0,234,7608.855283
2.0,204,7617.849437
1.0,157,7625.029874
3.0,252,7636.193139
4.0,243,7647.149522
4.0,296,7660.446918
3.0,253,7672.072946
1.0,173,7679.925771
1.0,156,7686.857788
0.0,129,7692.663903
9.0,367,7709.600612
5.0,303,7723.490524
3.0,237,7734.382528
5.0,300,7748.425577
1.0,178,7756.363608
1.0,159,7763.155792
1.0,172,7770.790704
1.0,175,7778.24564
1.0,155,7784.612419
0.0,123,7789.76633
3.0,255,7801.514819
2.0,187,7810.170579
2.0,230,7820.842565
3.0,252,7832.274283
0.0,127,7837.434972
2.0,204,7846.647447
5.0,317,7861.162035
3.0,249,7872.903813
8.0,354,7889.216903
1.0,153,7895.814667
0.0,125,7901.134586
0.0,127,7906.538313
1.0,173,7914.143416
4.0,281,7926.314906
3.0,236,7936.800778
3.0,248,7948.333804
5.0,316,7963.04117
1.0,155,7969.868392
6.0,346,7985.635285
2.0,183,7993.978722
3.0,254,8005.468926
4.0,290,8018.875081
5.0,343,8034.194594
2.0,222,8044.033388
6.0,393,8062.621476
2.0,185,8070.586011
3.0,250,8081.879823
1.0,157,8088.728915
0.0,129,8094.24905
0.0,129,8099.960002
2.0,203,8108.492632
1.0,177,8116.579753
2.0,206,8126.051515
2.0,203,8134.818945
4.0,302,8148.643607
4.0,276,8161.273167
2.0,222,8171.18433
4.0,302,8184.934748
2.0,204,8193.695568
3.0,254,8205.104482
2.0,206,8214.519201
0.0,129,8219.897923
1.0,156,8226.551897
1.0,153,8233.427551
2.0,224,8243.49382
0.0,129,8249.071352
6.0,354,8265.179032
4.0,284,8278.59999
1.0,157,8285.479565
6.0,380,8303.02826
3.0,276,8315.123188
3.0,232,8325.556512
0.0,127,8330.806441
0.0,127,8336.311558
3.0,250,8347.551672
4.0,269,8359.459144
4.0,265,8371.721437
3.0,254,8382.936213
1.0,155,8389.872551
2.0,192,8398.119956
0.0,125,8403.670823
3.0,271,8416.143654
2.0,202,8425.009424
0.0,129,8430.49611
0.0,129,8436.207788
0.0,125,8441.088552
2.0,203,8450.326085
5.0,348,8466.117358
2.0,201,8474.835643
2.0,187,8483.09335
6.0,373,8499.915455
4.0,280,8512.31702
6.0,349,8528.666514
6.0,346,8544.520756
1.0,173,8552.060935
2.0,224,8562.451654
0.0,125,8567.58111
0.0,127,8573.12035
8.0,452,8593.401788
2.0,205,8602.897091
1.0,177,8610.704107
1.0,174,8618.450727
2.0,221,8628.526263
3.0,252,8640.065901
5.0,309,8654.334863
5.0,317,8668.74993
4.0,263,8680.342002
1.0,155,8686.948561
1.0,177,8694.581132
0.0,127,8699.813114
2.0,184,8708.046221
1.0,173,8715.236976
1.0,176,8722.650149
1.0,153,8729.375188
0.0,129,8734.852889
2.0,206,8744.20415
2.0,183,8752.265101
2.0,184,8760.211671
2.0,204,8769.141747
3.0,216,8778.818417
1.0,157,8785.998527
9.0,425,8805.594455
4.0,262,8817.496058
3.0,230,8827.766336
2.0,185,8835.785187
3.0,232,8846.370049
1.0,171,8853.716288
2.0,203,8862.805056
2.0,222,8872.825371
4.0,280,8885.795736
0.0,129,8891.339722
1.0,178,8899.094517
4.0,300,8912.732464
0.0,129,8918.229952
0.0,125,8923.501585
1.0,178,8931.606594
1.0,155,8938.338376
1.0,172,8945.912548
2.0,200,8954.977072
0.0,127,8960.37779
0.0,127,8965.733243
2.0,184,8974.065176
3.0,272,8986.296454
1.0,155,8993.025913
3.0,233,9003.398886
3.0,270,9015.923434
1.0,157,9022.855778
6.0,329,9038.202314
5.0,339,9053.804528
2.0,188,9062.322228
1.0,155,9069.329008
5.0,289,9082.609851
1.0,175,9090.091423
2.0,188,9098.180321
2.0,184,9106.377713
0.0,125,9111.980696
3.0,270,9124.260911
3.0,235,9134.987144
5.0,323,9150.061357
8.0,354,9166.447329
0.0,127,9171.865641
0.0,127,9177.612232
3.0,250,9188.956299
6.0,370,9206.002059
6.0,355,9222.467818
1.0,157,9229.142899
4.0,304,9242.536969
4.0,321,9257.483123
3.0,251,9269.074923
0.0,129,9274.285315
1.0,175,9281.979216
1.0,155,9288.408061
5.0,313,9302.444723
2.0,201,9311.594062
0.0,127,9316.925951
2.0,183,9325.501332
3.0,230,9335.598382
3.0,233,9345.45704
0.0,129,9350.925436
6.0,376,9368.302674
5.0,370,9385.215799
1.0,171,9393.060857
2.0,198,9402.033887
4.0,304,9415.741086
0.0,127,9421.225077
0.0,129,9426.597394
2.0,226,9437.060465
4.0,323,9451.920586
4.0,303,9465.74504
1.0,155,9472.428755
5.0,309,9486.576877
5.0,325,9501.178832
3.0,257,9512.98244
6.0,344,9528.733863
2.0,222,9538.656354
3.0,238,9549.669624
5.0,315,9563.831895
3.0,220,9573.606563
0.0,127,9578.929873
0.0,129,9584.379306
1.0,157,9591.47433
4.0,290,9604.643202
1.0,153,9611.320075
3.0,253,9622.520221
2.0,204,9631.935335
3.0,242,9642.875978
2.0,220,9652.495462
3.0,238,9663.060668
3.0,254,9674.865018
1.0,157,9681.619653
4.0,283,9694.28766
1.0,177,9702.222487
2.0,201,9711.141945
4.0,277,9723.8733
1.0,155,9730.73197
5.0,313,9745.336465
4.0,281,9758.03712
2.0,204,9767.00638
1.0,155,9773.808796
1.0,175,9781.776114
2.0,203,9790.691206
0.0,127,9796.216874
2.0,187,9804.224232
3.0,210,9813.270172
4.0,301,9826.77266
5.0,309,9841.223782
2.0,221,9851.210688
1.0,171,9858.606389
0.0,125,9864.053327
1.0,173,9871.807442
0.0,127,9877.224849
1.0,173,9884.848941
1.0,154,9891.400337
4.0,282,9904.514581
4.0,301,9918.206588
7.0,327,9933.141237
3.0,252,9944.589327
2.0,192,9953.47562
4.0,268,9965.76588
0.0,129,9970.9482
5.0,311,9985.094161
5.0,315,9999.464252
3.0,233,10009.944564
5.0,345,10025.984527
5.0,328,10040.938055
2.0,186,10049.003344
1.0,157,10055.615968
5.0,321,10070.085117
7.0,402,10088.291339
4.0,267,10100.376022
0.0,129,10106.009934
3.0,239,10116.942477
3.0,253,10128.277787
1.0,173,10136.10992
2.0,186,10144.52357
6.0,362,10160.627851
0.0,129,10166.078981
0.0,127,10171.448104
7.0,425,10191.310406
1.0,176,10198.897008
0.0,129,10204.538927
3.0,228,10214.908614
1.0,174,10222.469905
2.0,225,10232.56622
1.0,173,10240.088954
0.0,129,10245.524603
2.0,223,10255.378628
2.0,202,10264.51649
1.0,173,10272.261822
2.0,201,10280.806383
2.0,225,10290.965869
1.0,155,10297.468578
3.0,236,10308.062323
8.0,453,10329.44884
2.0,206,10338.529874
