# {"t_start": 1548872222.057447, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,761,2316.664176
-21.0,791,2320.304826
-21.0,790,2323.920023
-21.0,787,2327.528157
-21.0,759,2331.015179
-21.0,789,2334.634496
-21.0,781,2338.2376
-21.0,762,2341.754858
-21.0,761,2345.269562
-21.0,757,2348.755534
-21.0,782,2352.343604
-20.0,841,2356.198738
-21.0,792,2359.829033
-21.0,760,2363.310539
-21.0,787,2366.918542
-21.0,758,2370.396066
-21.0,788,2374.024909
-21.0,788,2377.632685
-21.0,760,2381.117533
-21.0,758,2384.595558
-21.0,789,2388.212311
-21.0,757,2391.687033
-21.0,780,2395.251709
-21.0,761,2398.741399
-21.0,761,2402.514634
-21.0,759,2406.480773
-21.0,785,2410.599101
-21.0,757,2414.566768
-21.0,759,2418.543405
-21.0,759,2422.519772
-21.0,764,2426.509716
-21.0,791,2430.643976
-21.0,789,2434.817917
-21.0,786,2438.922236
-21.0,790,2443.055908
-21.0,759,2447.083764
-21.0,764,2451.072287
-21.0,790,2455.199213
-21.0,791,2459.326988
-21.0,789,2463.448377
-21.0,759,2467.436527
-21.0,781,2471.504656
-21.0,760,2475.462166
-21.0,786,2479.573838
-21.0,757,2483.542495
-21.0,787,2487.63844
-21.0,763,2491.617726
-21.0,763,2495.604549
-21.0,789,2499.708212
-21.0,786,2503.807742
-21.0,758,2507.747576
-21.0,790,2511.909102
-21.0,758,2515.892211
-21.0,787,2519.985379
-21.0,763,2523.983972
-21.0,761,2527.962056
-21.0,761,2531.936423
-21.0,764,2535.922976
-21.0,764,2539.903421
-21.0,761,2543.881577
-21.0,763,2547.966888
-21.0,761,2551.949314
-21.0,758,2555.915024
-21.0,786,2560.023127
-21.0,786,2564.120296
-21.0,763,2568.106693
-21.0,785,2572.200081
-21.0,764,2576.175873
-21.0,789,2580.28762
-21.0,787,2584.401436
-21.0,760,2588.375116
-21.0,758,2592.326307
-21.0,791,2596.430962
-21.0,764,2600.403469
-21.0,757,2604.354427
-21.0,782,2608.426768
-21.0,791,2612.577025
-21.0,762,2616.558001
-21.0,757,2620.505958
-21.0,789,2624.688831
-21.0,788,2628.529609
-21.0,787,2632.167346
-21.0,762,2635.707148
-21.0,788,2639.328374
-21.0,792,2642.980628
-21.0,761,2646.494173
-21.0,790,2650.139824
-21.0,785,2653.744686
-21.0,760,2657.237245
-21.0,789,2660.859089
-21.0,786,2664.468556
-21.0,786,2668.081582
-21.0,759,2671.577202
-21.0,759,2675.075379
-21.0,788,2678.699493
-21.0,760,2682.182919
-21.0,791,2685.808789
-21.0,786,2689.447153
-21.0,764,2693.307086
-21.0,758,2697.272588
-21.0,787,2701.462026
-21.0,764,2705.517466
-21.0,785,2709.644456
-21.0,791,2713.878573
-21.0,764,2717.962702
-21.0,782,2722.055865
-21.0,760,2726.031622
-21.0,791,2730.170941
-21.0,759,2734.029562
-21.0,757,2738.004279
-21.0,759,2741.971402
-21.0,762,2745.958191
-21.0,792,2750.091502
-21.0,757,2754.050982
-21.0,763,2758.030794
-21.0,762,2762.014872
-21.0,762,2766.00865
-21.0,763,2769.990172
-21.0,759,2773.945531
-21.0,760,2777.908022
-21.0,757,2781.865769
-21.0,786,2785.980817
-21.0,786,2790.081542
-21.0,763,2794.064874
-21.0,759,2798.017824
-21.0,761,2801.985407
-21.0,758,2805.961532
-21.0,789,2810.155838
-21.0,820,2814.433656
-21.0,764,2818.41577
-21.0,763,2822.402862
-21.0,764,2826.394397
-21.0,762,2830.378714
-21.0,760,2834.33322
-21.0,760,2838.295664
-21.0,789,2842.405079
-20.0,836,2846.77194
-21.0,757,2850.729074
-21.0,787,2854.826231
-21.0,758,2858.775164
-21.0,792,2862.893187
-21.0,790,2867.025113
-21.0,764,2870.997248
-21.0,789,2875.096172
-21.0,787,2879.189168
-21.0,786,2883.297475
-21.0,762,2887.268696
-21.0,763,2891.239704
-21.0,819,2895.500757
-21.0,760,2899.45482
-21.0,789,2903.568062
-21.0,759,2907.54168
-21.0,762,2911.528127
-21.0,760,2915.503794
-21.0,759,2919.45908
-21.0,763,2923.428621
-21.0,763,2927.407963
-21.0,762,2931.376494
-21.0,764,2935.348415
-21.0,760,2939.348753
-21.0,791,2943.490995
-21.0,760,2947.46708
-21.0,760,2951.431689
-21.0,787,2955.534238
-21.0,790,2959.646303
-21.0,787,2963.75242
-21.0,787,2967.856372
-21.0,789,2971.979369
-21.0,761,2975.953149
-21.0,761,2979.922217
-21.0,761,2983.90299
-21.0,786,2988.00664
-21.0,758,2991.953189
-21.0,791,2996.11912
-21.0,761,3000.103251
-21.0,762,3004.09087
-21.0,787,3008.210768
-21.0,790,3012.341266
-21.0,760,3016.312488
-21.0,759,3020.26914
-21.0,757,3024.22648
-21.0,791,3028.3484
-21.0,758,3032.321799
-21.0,761,3036.297391
-21.0,787,3040.479768
-21.0,788,3044.5824
-21.0,792,3048.73016
-21.0,760,3052.741653
-21.0,760,3056.713593
-21.0,759,3060.741172
-21.0,758,3064.718259
-21.0,764,3068.732114
-21.0,789,3072.862025
-21.0,761,3076.832029
-21.0,789,3080.957915
-21.0,759,3084.913265
-21.0,785,3089.013913
-21.0,757,3092.988173
-21.0,764,3096.977005
-21.0,815,3101.308507
-21.0,786,3105.422698
-21.0,757,3109.363702
-21.0,762,3113.356507
-21.0,764,3117.331866
-21.0,792,3121.475903
-21.0,758,3125.441121
-21.0,787,3129.556961
-21.0,788,3133.674479
-21.0,791,3137.793469
-21.0,778,3141.852145
-21.0,758,3145.809667
-21.0,786,3149.916476
-21.0,788,3154.047073
-21.0,759,3158.0155
-21.0,790,3162.132478
-21.0,762,3166.103436
-21.0,788,3170.218248
-21.0,790,3174.343192
-21.0,764,3178.323968
-21.0,788,3182.450574
-21.0,762,3186.431553
-21.0,759,3190.408365
-21.0,761,3194.38033
-21.0,760,3198.350792
-21.0,788,3204.248395
-21.0,786,3209.753757
-21.0,757,3213.998827
-21.0,759,3218.598105
-21.0,764,3222.299332
-20.0,841,3226.668719
-21.0,758,3230.788351
-21.0,785,3235.281079
-21.0,786,3240.397919
-21.0,763,3245.520401
-21.0,758,3250.444807
-21.0,789,3255.677111
-21.0,763,3260.463134
-21.0,758,3265.344664
-21.0,763,3270.707932
-21.0,763,3280.272289
-21.0,764,3292.924763
-21.0,762,3305.590398
