# {"t_start": 1548777949.9553475, "env_id": "PongNoFrameskip-v4"} 
r,l,t
19.0,1783,8582.133535
20.0,1679,8597.454727
17.0,2025,8615.838808
21.0,1673,8631.051025
17.0,1849,8647.801946
20.0,1670,8663.006671
20.0,1722,8678.584053
17.0,1935,8696.034883
19.0,1809,8712.394179
18.0,1979,8730.586217
19.0,1774,8746.707056
20.0,1660,8761.721822
19.0,1856,8778.668672
21.0,1630,8793.62785
19.0,1751,8809.60006
16.0,1958,8827.215964
20.0,1718,8842.945914
21.0,1630,8857.723767
16.0,1999,8875.878838
19.0,1844,8892.55512
19.0,1777,8908.62517
18.0,1787,8924.67517
12.0,2374,8946.163806
20.0,1710,8961.600698
20.0,1666,8976.753256
16.0,1983,8994.726117
20.0,1741,9010.510969
20.0,1812,9026.850582
9.0,2429,9048.882755
20.0,1690,9064.226221
18.0,1930,9081.663703
20.0,1662,9096.739955
20.0,1668,9111.867188
18.0,1861,9128.697155
19.0,1843,9145.453183
20.0,1661,9160.542514
18.0,1787,9176.847036
18.0,1820,9193.305828
21.0,1636,9208.288487
17.0,1896,9225.520137
20.0,1788,9241.722213
19.0,1761,9257.761095
21.0,1694,9273.179935
20.0,1771,9289.254785
19.0,1843,9305.939981
13.0,2139,9325.329077
19.0,1752,9341.275748
20.0,1748,9357.159619
20.0,1662,9372.371953
18.0,1803,9388.676238
19.0,1711,9404.143379
19.0,1794,9420.239416
18.0,1819,9436.694839
18.0,1806,9453.053713
20.0,1772,9469.158385
18.0,1851,9485.919585
21.0,1651,9500.879322
20.0,1665,9516.002056
20.0,1662,9531.095613
18.0,1823,9547.616179
19.0,1800,9563.901223
20.0,1830,9580.539978
20.0,1665,9595.74782
20.0,1760,9611.681327
21.0,1627,9626.376851
20.0,1662,9641.499098
20.0,1806,9657.834994
20.0,1666,9672.997746
20.0,1660,9688.056891
20.0,1660,9703.07203
20.0,1748,9718.943211
20.0,1747,9734.731495
21.0,1747,9750.608158
18.0,1758,9766.606799
16.0,2039,9785.125189
18.0,1860,9802.144076
20.0,1710,9817.755595
21.0,1686,9833.194273
20.0,1747,9849.154371
19.0,1785,9865.407889
20.0,1661,9880.536731
21.0,1751,9896.360342
18.0,1976,9914.381695
20.0,1758,9930.464791
20.0,1768,9946.550391
18.0,1879,9963.614089
21.0,1753,9979.73599
19.0,1957,9997.408858
17.0,1959,10015.137517
19.0,1738,10030.876289
20.0,1813,10047.296649
20.0,1660,10062.637703
20.0,1667,10077.763071
18.0,1813,10094.182154
19.0,1776,10110.310014
19.0,1845,10127.163808
18.0,1826,10143.833645
18.0,1869,10160.697293
20.0,1661,10175.767802
20.0,1739,10191.451239
20.0,1665,10206.522271
20.0,1660,10221.553788
17.0,1977,10239.525697
20.0,1781,10255.615963
20.0,1790,10271.891336
19.0,1939,10289.441343
19.0,1775,10305.661898
21.0,1632,10320.585574
18.0,1849,10337.338287
17.0,1984,10355.339715
18.0,1924,10372.889913
20.0,1864,10389.810367
20.0,1697,10405.172445
19.0,1834,10421.725775
20.0,1750,10437.553433
20.0,1710,10453.037621
21.0,1630,10468.007019
19.0,1782,10484.084792
19.0,1764,10500.228159
19.0,1839,10516.814102
15.0,1989,10534.779016
19.0,1881,10551.881422
20.0,1666,10566.973638
15.0,1973,10584.85996
20.0,1692,10600.24625
18.0,1818,10616.73202
21.0,1629,10631.452945
20.0,1713,10646.991425
21.0,1886,10664.081638
20.0,1670,10679.128079
20.0,1699,10694.543003
20.0,1678,10709.735577
19.0,1821,10726.254889
18.0,1990,10744.246619
21.0,1636,10759.056139
20.0,1665,10774.198273
20.0,1669,10789.364755
20.0,1687,10804.692527
18.0,1893,10821.824365
19.0,1765,10837.759719
20.0,1686,10853.015481
20.0,1666,10868.278301
21.0,1632,10883.194459
19.0,1813,10899.532608
17.0,1829,10916.121441
18.0,1835,10932.689178
20.0,1666,10947.826555
21.0,1628,10962.512514
20.0,3254,10992.344771
21.0,1630,11006.939452
20.0,1687,11022.261695
20.0,1658,11037.218048
21.0,1629,11052.132494
20.0,1698,11067.579051
19.0,2032,11085.967788
21.0,1632,11100.781272
20.0,1722,11116.436131
18.0,1857,11133.440341
21.0,1629,11148.087529
20.0,1670,11163.206491
19.0,1754,11179.085339
19.0,1798,11195.346922
20.0,1721,11210.95045
20.0,1702,11226.356664
19.0,1791,11242.686129
19.0,1807,11259.096565
21.0,1632,11273.823349
20.0,1700,11289.28181
13.0,2232,11309.547824
21.0,1707,11325.018603
20.0,1805,11341.352889
20.0,1774,11357.407219
20.0,1726,11372.977032
13.0,1943,11390.533287
20.0,1660,11405.687471
20.0,1747,11421.67621
21.0,1811,11438.167373
21.0,1631,11452.970471
20.0,1772,11468.976152
18.0,1925,11486.537835
