# {"t_start": 1549017187.4410937, "env_id": "SpaceInvadersNoFrameskip-v4"} 
r,l,t
255.0,1009,1902.390481
100.0,406,1906.021494
110.0,457,1910.238156
225.0,553,1915.229054
230.0,557,1920.251673
70.0,340,1923.286222
60.0,286,1925.895173
125.0,552,1930.909415
185.0,498,1935.459644
410.0,625,1941.101308
270.0,727,1947.727992
305.0,824,1955.298939
195.0,776,1962.438266
210.0,487,1966.8359
120.0,419,1970.684101
155.0,437,1974.643921
240.0,640,1980.474027
35.0,275,1982.941405
375.0,665,1988.976272
355.0,620,1994.688345
215.0,759,2001.630602
135.0,547,2006.5811
290.0,530,2011.461066
145.0,467,2015.654253
225.0,634,2021.403759
180.0,546,2026.368932
180.0,430,2030.24086
365.0,975,2039.172139
155.0,493,2043.645789
225.0,718,2050.14789
60.0,442,2054.179604
285.0,734,2060.840885
190.0,601,2066.397731
120.0,458,2070.508595
200.0,601,2075.930342
35.0,371,2079.339463
145.0,568,2084.448251
180.0,523,2089.301355
80.0,389,2092.838354
105.0,494,2097.317127
140.0,529,2102.122101
90.0,417,2105.842246
150.0,382,2109.324934
180.0,384,2112.752702
55.0,276,2115.296351
170.0,500,2119.768142
275.0,769,2126.731462
100.0,472,2131.064387
430.0,646,2136.954277
260.0,691,2143.173144
210.0,594,2148.624238
210.0,577,2153.812688
155.0,480,2158.231826
295.0,658,2164.19962
185.0,598,2169.664944
140.0,503,2174.224253
140.0,454,2178.326184
65.0,274,2180.81405
90.0,375,2184.152665
260.0,823,2191.560487
510.0,897,2199.590745
660.0,1220,2210.651538
110.0,419,2214.500816
190.0,622,2220.09792
175.0,631,2225.789392
115.0,465,2230.021042
145.0,412,2233.699506
110.0,511,2238.290886
135.0,521,2243.088299
460.0,711,2249.527298
255.0,797,2256.789536
205.0,720,2263.409409
225.0,613,2268.946904
230.0,653,2274.960663
195.0,693,2281.272389
110.0,289,2283.886366
185.0,564,2289.047181
105.0,370,2292.395898
270.0,783,2299.522681
285.0,803,2306.784676
255.0,821,2314.193801
130.0,505,2318.783439
55.0,295,2321.461482
135.0,564,2326.60421
55.0,412,2330.350185
115.0,411,2334.102747
215.0,610,2339.605515
125.0,376,2342.99008
315.0,690,2349.247081
285.0,837,2356.81314
255.0,539,2361.556097
350.0,485,2366.145952
210.0,671,2372.167104
175.0,482,2376.627474
210.0,493,2381.093789
220.0,559,2386.126601
180.0,461,2390.237264
155.0,571,2395.448434
205.0,675,2401.578492
170.0,718,2408.040286
200.0,586,2413.379343
200.0,553,2418.443691
150.0,547,2423.382888
135.0,387,2426.832209
115.0,389,2430.376508
105.0,442,2434.353218
190.0,678,2440.505987
100.0,496,2445.03567
150.0,530,2449.857472
165.0,517,2454.652095
170.0,468,2458.875682
325.0,731,2465.502391
80.0,361,2468.729134
545.0,1036,2478.115368
165.0,393,2481.680224
195.0,483,2486.064924
235.0,528,2490.825884
185.0,485,2495.26449
125.0,440,2499.250477
105.0,316,2502.069715
20.0,417,2505.819829
335.0,691,2512.054495
115.0,373,2515.447989
90.0,465,2519.656731
170.0,620,2525.24211
100.0,446,2529.348094
65.0,394,2532.978227
255.0,672,2539.042777
95.0,387,2542.630553
400.0,804,2549.947504
285.0,851,2557.761259
240.0,699,2564.089411
155.0,479,2568.359603
335.0,728,2574.920638
130.0,424,2578.841754
175.0,555,2583.8824
195.0,727,2590.451087
130.0,467,2594.667038
260.0,893,2602.748254
155.0,501,2607.300992
115.0,466,2611.529223
200.0,687,2617.751776
165.0,615,2623.360617
210.0,884,2631.441369
80.0,413,2635.178987
110.0,530,2639.974625
215.0,592,2645.420941
285.0,624,2651.049598
105.0,387,2654.490165
105.0,414,2658.280627
120.0,386,2661.737056
230.0,652,2667.707491
190.0,629,2673.428807
155.0,501,2677.959953
190.0,481,2682.320454
190.0,596,2687.648485
380.0,889,2695.632024
135.0,445,2699.736287
180.0,491,2704.186217
115.0,374,2707.555915
135.0,344,2710.644181
215.0,587,2715.945567
285.0,682,2722.201946
80.0,365,2725.539003
160.0,407,2729.174948
120.0,431,2733.145897
110.0,394,2736.679398
195.0,605,2742.195884
180.0,495,2746.671818
210.0,612,2752.279711
395.0,789,2759.484308
210.0,507,2764.025642
160.0,566,2769.157015
285.0,749,2776.061492
110.0,550,2781.083136
180.0,386,2784.508534
210.0,502,2789.047256
210.0,452,2793.065419
35.0,337,2796.146249
365.0,867,2804.046685
110.0,555,2809.148974
135.0,467,2813.445824
245.0,610,2818.96424
95.0,608,2824.443527
140.0,499,2828.96053
260.0,824,2836.496925
225.0,650,2842.376463
295.0,753,2849.297864
115.0,586,2854.584907
370.0,808,2861.970723
125.0,671,2868.110226
345.0,727,2874.665979
135.0,456,2878.792418
205.0,734,2885.456433
115.0,510,2890.067089
100.0,371,2893.409375
170.0,723,2900.043033
45.0,284,2902.573141
495.0,951,2911.127573
195.0,1209,2922.183911
110.0,443,2926.133315
210.0,542,2931.034584
415.0,890,2939.206633
35.0,386,2942.771155
285.0,577,2947.992471
210.0,528,2952.828346
105.0,454,2956.928682
135.0,390,2960.517616
245.0,684,2966.655787
265.0,686,2972.762713
215.0,615,2978.445777
295.0,671,2984.509356
60.0,454,2988.659376
150.0,704,2995.094647
120.0,431,2998.994324
215.0,726,3005.575833
290.0,611,3011.179039
510.0,811,3018.554481
405.0,779,3025.602301
45.0,372,3028.993629
130.0,596,3034.443919
140.0,616,3040.123499
250.0,863,3047.798656
325.0,606,3053.277109
150.0,640,3059.069559
235.0,671,3065.176311
230.0,719,3071.845509
165.0,627,3077.437743
135.0,521,3082.165072
345.0,797,3089.459099
150.0,543,3094.367743
120.0,514,3099.128932
130.0,434,3103.082515
360.0,788,3110.057445
490.0,665,3116.119592
410.0,669,3122.166212
185.0,475,3126.429082
290.0,790,3133.553696
555.0,928,3141.922606
210.0,485,3146.418336
380.0,990,3155.406341
235.0,741,3162.167977
200.0,603,3167.573567
185.0,520,3172.34909
125.0,367,3175.638828
385.0,711,3182.088098
230.0,763,3188.98102
190.0,642,3194.992232
295.0,659,3200.997947
185.0,447,3205.067066
450.0,1030,3214.367157
235.0,727,3220.996016
435.0,703,3227.342777
410.0,1035,3236.71568
70.0,357,3240.013255
225.0,690,3246.392915
350.0,797,3253.570229
375.0,693,3259.846166
120.0,451,3263.93437
365.0,908,3272.152615
165.0,536,3276.933949
320.0,805,3284.273815
185.0,568,3289.310451
230.0,697,3295.670882
155.0,476,3299.95956
35.0,471,3304.235575
260.0,779,3311.267794
240.0,692,3317.517873
170.0,516,3322.142658
45.0,389,3325.612969
180.0,493,3330.145806
230.0,579,3335.350287
260.0,630,3341.048969
155.0,390,3344.575765
190.0,714,3350.947477
185.0,577,3356.182332
190.0,710,3362.634972
370.0,729,3369.273754
135.0,483,3373.751041
320.0,767,3380.669021
440.0,1043,3390.019688
110.0,380,3393.474383
395.0,960,3402.02538
165.0,500,3406.509124
135.0,509,3411.082287
440.0,712,3417.515778
295.0,675,3423.709751
180.0,679,3429.858649
120.0,513,3434.583974
155.0,497,3439.119426
105.0,468,3443.338062
185.0,563,3448.436271
465.0,708,3454.876652
120.0,456,3459.022455
395.0,626,3464.624485
100.0,521,3469.351015
225.0,597,3474.840145
115.0,543,3479.774383
20.0,409,3483.572064
290.0,622,3489.347815
260.0,734,3495.991089
320.0,548,3500.90839
140.0,500,3505.471188
320.0,659,3511.554784
345.0,802,3518.772302
110.0,404,3522.361044
325.0,657,3528.433407
320.0,988,3537.420568
200.0,488,3541.846031
125.0,417,3545.658221
125.0,677,3551.795165
20.0,269,3554.178897
150.0,487,3558.533312
135.0,383,3561.972587
110.0,496,3566.423669
545.0,1200,3577.259367
300.0,734,3584.041271
205.0,811,3591.369447
505.0,793,3598.449173
375.0,978,3607.27192
110.0,479,3611.62093
305.0,726,3618.36178
330.0,656,3624.392125
270.0,781,3631.319308
130.0,517,3635.945001
250.0,762,3642.8509
355.0,843,3650.447428
270.0,766,3657.373346
210.0,478,3661.686046
205.0,710,3668.11975
210.0,665,3674.215587
400.0,836,3681.743825
250.0,590,3687.115658
480.0,752,3693.928182
80.0,373,3697.272352
145.0,495,3701.755565
180.0,369,3705.026734
330.0,809,3712.338756
330.0,885,3720.369903
100.0,370,3723.810147
135.0,442,3727.778269
170.0,520,3732.502396
395.0,754,3739.350823
65.0,407,3743.00158
160.0,479,3747.3295
315.0,767,3754.371407
155.0,496,3758.823374
250.0,712,3765.328582
135.0,406,3768.963892
345.0,780,3776.163377
215.0,698,3782.520489
110.0,440,3786.431572
185.0,537,3791.168553
60.0,343,3794.237977
150.0,528,3798.993249
405.0,754,3805.948897
100.0,347,3809.151734
125.0,439,3813.253536
105.0,355,3816.480544
205.0,622,3822.107948
490.0,599,3827.557321
145.0,671,3833.596679
250.0,740,3840.305472
480.0,721,3846.971298
80.0,284,3849.508222
640.0,1382,3862.036787
375.0,940,3870.569985
340.0,895,3878.602587
315.0,715,3885.054061
170.0,458,3889.235658
155.0,490,3893.656104
535.0,827,3901.134167
205.0,583,3906.414001
120.0,419,3910.195794
355.0,710,3916.640766
95.0,489,3921.102096
480.0,772,3928.071051
180.0,455,3932.258732
65.0,303,3934.967113
495.0,797,3942.224484
515.0,744,3948.99068
235.0,765,3955.942199
365.0,718,3962.420502
70.0,334,3965.428975
615.0,815,3972.781828
290.0,644,3978.625304
235.0,733,3985.172612
295.0,530,3989.981514
185.0,500,3994.551002
420.0,764,4001.639951
65.0,486,4006.017261
65.0,426,4009.777565
460.0,725,4016.290949
475.0,1219,4027.429962
290.0,651,4033.355654
305.0,856,4041.092057
440.0,893,4049.221854
120.0,383,4052.672422
100.0,368,4055.997192
215.0,609,4061.496816
165.0,664,4067.519709
110.0,399,4071.218475
470.0,1001,4080.059723
205.0,528,4084.876209
65.0,359,4088.12931
235.0,524,4092.909788
160.0,501,4097.499358
390.0,726,4104.050873
620.0,967,4112.615544
150.0,556,4117.67878
250.0,689,4123.953851
230.0,699,4130.172849
170.0,955,4138.888948
180.0,499,4143.462452
90.0,440,4147.460434
280.0,958,4156.121026
370.0,864,4164.02909
80.0,282,4166.620857
130.0,595,4172.112566
445.0,981,4180.945539
195.0,594,4186.392391
785.0,996,4195.295883
340.0,714,4201.769307
425.0,954,4210.397895
390.0,752,4217.176787
85.0,375,4220.557503
215.0,501,4225.128859
415.0,916,4233.382676
365.0,843,4241.021815
210.0,567,4246.264289
35.0,354,4249.508214
165.0,488,4253.946255
225.0,554,4258.926164
335.0,460,4263.179208
245.0,882,4271.19877
255.0,601,4276.695394
200.0,665,4282.555528
390.0,894,4290.584551
265.0,671,4296.76734
365.0,1031,4306.292014
385.0,802,4313.564526
410.0,586,4318.932995
105.0,378,4322.415728
65.0,338,4325.495783
230.0,669,4331.449659
320.0,604,4336.894388
155.0,525,4341.67471
300.0,655,4347.566843
95.0,439,4351.542699
215.0,622,4357.182089
285.0,715,4363.596811
330.0,778,4370.787935
500.0,1049,4380.295557
285.0,652,4386.347178
115.0,552,4391.414419
275.0,662,4397.431408
210.0,471,4401.776621
265.0,593,4407.250166
175.0,554,4412.191829
140.0,478,4416.556184
210.0,699,4422.864852
210.0,636,4428.691854
215.0,516,4433.308377
545.0,843,4440.877112
170.0,569,4446.054243
200.0,671,4452.158239
265.0,723,4458.742562
265.0,577,4463.965297
635.0,820,4471.343919
210.0,597,4476.742347
55.0,362,4479.956938
90.0,418,4483.682444
90.0,489,4488.074633
220.0,684,4494.275851
380.0,802,4501.529852
425.0,825,4509.04316
185.0,710,4515.479243
295.0,773,4522.521074
230.0,585,4527.810636
190.0,594,4533.228985
195.0,568,4538.425828
390.0,749,4545.244608
435.0,1043,4554.724264
300.0,623,4560.366098
315.0,706,4566.692697
270.0,704,4573.061467
375.0,720,4579.6057
120.0,483,4583.99923
385.0,507,4588.673416
160.0,471,4592.884611
665.0,870,4600.840455
115.0,419,4604.554695
225.0,547,4609.660716
240.0,612,4615.291178
655.0,777,4622.337536
145.0,478,4626.693825
215.0,478,4631.039241
75.0,458,4635.159859
255.0,600,4640.683475
60.0,342,4643.720097
315.0,672,4649.763816
255.0,779,4656.818245
535.0,764,4663.704541
520.0,749,4670.376992
95.0,455,4674.57197
655.0,1019,4683.702492
180.0,550,4688.691662
215.0,471,4692.918559
260.0,854,4700.689326
360.0,648,4706.600108
345.0,644,4712.418849
375.0,835,4720.031093
260.0,580,4725.311576
350.0,735,4731.961894
485.0,698,4738.279562
300.0,779,4745.362134
565.0,818,4753.118699
205.0,742,4759.809353
390.0,643,4765.564893
320.0,718,4772.032758
120.0,339,4775.091043
170.0,448,4779.082486
215.0,508,4783.633139
335.0,823,4791.180755
60.0,327,4794.100649
575.0,701,4800.545889
545.0,1008,4809.554088
590.0,937,4818.036984
220.0,611,4823.670715
215.0,573,4828.878081
345.0,773,4835.935982
295.0,833,4843.586248
270.0,800,4850.81901
140.0,624,4856.478166
305.0,708,4862.973361
155.0,383,4866.395123
205.0,564,4871.516072
135.0,373,4874.914188
315.0,674,4881.124677
365.0,732,4887.769902
290.0,635,4893.474578
210.0,508,4898.075476
260.0,714,4904.528409
175.0,490,4908.956681
350.0,857,4916.729614
130.0,526,4921.543167
120.0,408,4925.23832
155.0,405,4928.913741
135.0,526,4933.682827
105.0,523,4938.446374
340.0,917,4946.712813
140.0,574,4952.008162
85.0,476,4956.249356
265.0,925,4964.65596
215.0,698,4971.006292
510.0,769,4977.901349
270.0,610,4983.386064
295.0,775,4990.446513
125.0,580,4995.697066
465.0,1145,5005.998763
90.0,388,5009.49006
195.0,521,5014.207026
180.0,509,5018.868573
240.0,647,5024.887275
490.0,834,5032.403548
450.0,1058,5041.946897
375.0,804,5049.210068
300.0,798,5056.491118
545.0,855,5064.201531
145.0,375,5067.59729
35.0,292,5070.234555
75.0,518,5074.97609
210.0,478,5079.30066
110.0,519,5084.005885
565.0,1080,5093.875523
510.0,753,5100.687708
285.0,575,5105.906094
145.0,610,5111.440702
215.0,638,5117.290884
240.0,773,5124.321322
130.0,517,5129.05119
190.0,657,5135.107661
270.0,753,5142.036027
115.0,526,5146.752016
180.0,424,5150.588755
620.0,1116,5160.709742
20.0,499,5165.180251
250.0,546,5170.133465
220.0,582,5175.43241
385.0,756,5182.327686
315.0,825,5189.786067
310.0,816,5197.254431
300.0,823,5204.668798
35.0,420,5208.481658
130.0,523,5213.156921
480.0,782,5220.288187
220.0,700,5226.624161
555.0,722,5233.14618
235.0,897,5241.251193
95.0,293,5243.895295
40.0,388,5247.344969
100.0,381,5250.820121
330.0,845,5258.410796
80.0,381,5261.81996
230.0,841,5269.410846
315.0,888,5277.516173
440.0,779,5284.588893
140.0,472,5288.820422
255.0,865,5296.687958
400.0,1004,5305.816577
55.0,500,5310.454131
115.0,402,5314.034786
310.0,773,5321.02354
125.0,667,5327.160023
210.0,387,5330.628172
100.0,324,5333.600236
200.0,613,5339.093003
75.0,456,5343.32277
110.0,596,5348.688788
130.0,607,5354.199464
150.0,481,5358.601323
145.0,371,5361.934553
225.0,676,5368.027313
40.0,565,5373.152717
150.0,703,5379.512709
210.0,467,5383.733182
150.0,477,5388.032898
310.0,823,5395.580469
105.0,394,5399.135251
415.0,1049,5408.644403
295.0,637,5414.459823
70.0,312,5417.283934
185.0,461,5421.47123
255.0,948,5429.999279
160.0,471,5434.276883
150.0,625,5439.939585
305.0,801,5447.262521
50.0,397,5450.804875
335.0,781,5458.003004
155.0,529,5462.751124
280.0,686,5469.050167
145.0,526,5473.827774
105.0,557,5478.913701
525.0,902,5486.988501
310.0,684,5493.321182
295.0,711,5499.790421
260.0,573,5504.981323
265.0,652,5510.904283
220.0,797,5518.178546
380.0,727,5524.773588
215.0,611,5530.461358
155.0,484,5534.949569
270.0,622,5540.547086
225.0,672,5546.442656
125.0,456,5550.430964
310.0,795,5557.347121
260.0,869,5564.82009
260.0,990,5573.602201
270.0,470,5577.876764
210.0,475,5581.991364
205.0,672,5587.930329
90.0,427,5591.803423
315.0,842,5599.429195
80.0,363,5602.68146
275.0,769,5609.809672
115.0,608,5615.305537
380.0,795,5622.630801
65.0,314,5625.437953
235.0,520,5630.160084
530.0,893,5638.334219
20.0,270,5640.809509
115.0,361,5644.180497
455.0,1027,5653.415936
240.0,996,5662.431581
225.0,553,5667.459499
140.0,680,5673.606774
290.0,769,5680.598299
200.0,613,5686.172897
135.0,481,5690.553469
295.0,681,5696.738621
260.0,863,5704.559921
265.0,541,5709.439806
235.0,593,5714.875597
130.0,425,5718.726412
135.0,308,5721.548372
800.0,1396,5734.071031
365.0,752,5740.826884
140.0,465,5744.999029
155.0,523,5749.763088
250.0,675,5755.957822
80.0,450,5760.014549
170.0,709,5766.343409
265.0,685,5772.515535
715.0,915,5780.745976
260.0,785,5787.850507
135.0,540,5792.730713
200.0,681,5798.883237
285.0,688,5805.122845
340.0,762,5812.039135
445.0,914,5820.343611
365.0,784,5827.457743
275.0,846,5835.112454
215.0,522,5839.90403
155.0,664,5845.916359
165.0,719,5852.327631
300.0,876,5860.30934
440.0,722,5866.794767
355.0,864,5874.830675
200.0,765,5881.770471
160.0,433,5885.639182
315.0,697,5891.955424
300.0,860,5899.679873
260.0,722,5906.240342
175.0,465,5910.47802
550.0,926,5918.894629
135.0,566,5924.009457
165.0,481,5928.321484
565.0,919,5936.597969
215.0,744,5943.283831
270.0,602,5948.754578
115.0,427,5952.604213
285.0,625,5958.247529
490.0,724,5964.80401
150.0,475,5969.108523
260.0,600,5974.538919
195.0,610,5980.061058
130.0,464,5984.310317
200.0,477,5988.623322
470.0,645,5994.546013
110.0,541,5999.478711
315.0,736,6006.06025
65.0,447,6010.023469
335.0,809,6017.409343
410.0,1091,6027.24835
415.0,837,6034.78867
240.0,638,6040.561409
120.0,475,6044.900207
235.0,610,6050.41066
135.0,477,6054.681554
315.0,867,6062.579928
165.0,515,6067.264673
260.0,831,6074.807747
685.0,1031,6084.066744
290.0,728,6090.635683
185.0,486,6095.0381
215.0,534,6099.917907
375.0,701,6106.260061
210.0,485,6110.651273
210.0,494,6115.131073
300.0,645,6120.979742
320.0,756,6127.99903
260.0,693,6134.273248
90.0,473,6138.567446
130.0,438,6142.501622
505.0,906,6150.628452
195.0,443,6154.732676
635.0,942,6163.166318
170.0,574,6168.379592
205.0,681,6174.551156
335.0,825,6182.141501
215.0,503,6186.668392
